,code,description,icd10cm_code
21715,M89.771,"Major osseous defect, right ankle and foot",M89771
21716,M89.772,"Major osseous defect, left ankle and foot",M89772
21717,M89.779,"Major osseous defect, unspecified ankle and foot",M89779
21718,M89.78,"Major osseous defect, other site",M8978
21719,M89.79,"Major osseous defect, multiple sites",M8979
21720,M89.8,Other specified disorders of bone,M898
21721,M89.8X,Other specified disorders of bone,M898X
21722,M89.8X0,"Other specified disorders of bone, multiple sites",M898X0
21723,M89.8X1,"Other specified disorders of bone, shoulder",M898X1
21724,M89.8X2,"Other specified disorders of bone, upper arm",M898X2
21725,M89.8X3,"Other specified disorders of bone, forearm",M898X3
21726,M89.8X4,"Other specified disorders of bone, hand",M898X4
21727,M89.8X5,"Other specified disorders of bone, thigh",M898X5
21728,M89.8X6,"Other specified disorders of bone, lower leg",M898X6
21729,M89.8X7,"Other specified disorders of bone, ankle and foot",M898X7
21730,M89.8X8,"Other specified disorders of bone, other site",M898X8
21731,M89.8X9,"Other specified disorders of bone, unspecified site",M898X9
21732,M89.9,"Disorder of bone, unspecified",M899
21733,M90,Osteopathies in diseases classified elsewhere,M90
21734,M90.5,Osteonecrosis in diseases classified elsewhere,M905
21735,M90.50,"Osteonecrosis in diseases classified elsewhere, unspecified site",M9050
21736,M90.51,"Osteonecrosis in diseases classified elsewhere, shoulder",M9051
21737,M90.511,"Osteonecrosis in diseases classified elsewhere, right shoulder",M90511
21738,M90.512,"Osteonecrosis in diseases classified elsewhere, left shoulder",M90512
21739,M90.519,"Osteonecrosis in diseases classified elsewhere, unspecified shoulder",M90519
21740,M90.52,"Osteonecrosis in diseases classified elsewhere, upper arm",M9052
21741,M90.521,"Osteonecrosis in diseases classified elsewhere, right upper arm",M90521
21742,M90.522,"Osteonecrosis in diseases classified elsewhere, left upper arm",M90522
21743,M90.529,"Osteonecrosis in diseases classified elsewhere, unspecified upper arm",M90529
21744,M90.53,"Osteonecrosis in diseases classified elsewhere, forearm",M9053
21745,M90.531,"Osteonecrosis in diseases classified elsewhere, right forearm",M90531
21746,M90.532,"Osteonecrosis in diseases classified elsewhere, left forearm",M90532
21747,M90.539,"Osteonecrosis in diseases classified elsewhere, unspecified forearm",M90539
21748,M90.54,"Osteonecrosis in diseases classified elsewhere, hand",M9054
21749,M90.541,"Osteonecrosis in diseases classified elsewhere, right hand",M90541
21750,M90.542,"Osteonecrosis in diseases classified elsewhere, left hand",M90542
21751,M90.549,"Osteonecrosis in diseases classified elsewhere, unspecified hand",M90549
21752,M90.55,"Osteonecrosis in diseases classified elsewhere, thigh",M9055
21753,M90.551,"Osteonecrosis in diseases classified elsewhere, right thigh",M90551
21754,M90.552,"Osteonecrosis in diseases classified elsewhere, left thigh",M90552
21755,M90.559,"Osteonecrosis in diseases classified elsewhere, unspecified thigh",M90559
21756,M90.56,"Osteonecrosis in diseases classified elsewhere, lower leg",M9056
21757,M90.561,"Osteonecrosis in diseases classified elsewhere, right lower leg",M90561
21758,M90.562,"Osteonecrosis in diseases classified elsewhere, left lower leg",M90562
21759,M90.569,"Osteonecrosis in diseases classified elsewhere, unspecified lower leg",M90569
21760,M90.57,"Osteonecrosis in diseases classified elsewhere, ankle and foot",M9057
21761,M90.571,"Osteonecrosis in diseases classified elsewhere, right ankle and foot",M90571
21762,M90.572,"Osteonecrosis in diseases classified elsewhere, left ankle and foot",M90572
21763,M90.579,"Osteonecrosis in diseases classified elsewhere, unspecified ankle and foot",M90579
21764,M90.58,"Osteonecrosis in diseases classified elsewhere, other site",M9058
21765,M90.59,"Osteonecrosis in diseases classified elsewhere, multiple sites",M9059
21766,M90.6,Osteitis deformans in neoplastic diseases,M906
21767,M90.60,"Osteitis deformans in neoplastic diseases, unspecified site",M9060
21768,M90.61,"Osteitis deformans in neoplastic diseases, shoulder",M9061
21769,M90.611,"Osteitis deformans in neoplastic diseases, right shoulder",M90611
21770,M90.612,"Osteitis deformans in neoplastic diseases, left shoulder",M90612
21771,M90.619,"Osteitis deformans in neoplastic diseases, unspecified shoulder",M90619
21772,M90.62,"Osteitis deformans in neoplastic diseases, upper arm",M9062
21773,M90.621,"Osteitis deformans in neoplastic diseases, right upper arm",M90621
21774,M90.622,"Osteitis deformans in neoplastic diseases, left upper arm",M90622
21775,M90.629,"Osteitis deformans in neoplastic diseases, unspecified upper arm",M90629
21776,M90.63,"Osteitis deformans in neoplastic diseases, forearm",M9063
21777,M90.631,"Osteitis deformans in neoplastic diseases, right forearm",M90631
21778,M90.632,"Osteitis deformans in neoplastic diseases, left forearm",M90632
21779,M90.639,"Osteitis deformans in neoplastic diseases, unspecified forearm",M90639
21780,M90.64,"Osteitis deformans in neoplastic diseases, hand",M9064
21781,M90.641,"Osteitis deformans in neoplastic diseases, right hand",M90641
21782,M90.642,"Osteitis deformans in neoplastic diseases, left hand",M90642
21783,M90.649,"Osteitis deformans in neoplastic diseases, unspecified hand",M90649
21784,M90.65,"Osteitis deformans in neoplastic diseases, thigh",M9065
21785,M90.651,"Osteitis deformans in neoplastic diseases, right thigh",M90651
21786,M90.652,"Osteitis deformans in neoplastic diseases, left thigh",M90652
21787,M90.659,"Osteitis deformans in neoplastic diseases, unspecified thigh",M90659
21788,M90.66,"Osteitis deformans in neoplastic diseases, lower leg",M9066
21789,M90.661,"Osteitis deformans in neoplastic diseases, right lower leg",M90661
21790,M90.662,"Osteitis deformans in neoplastic diseases, left lower leg",M90662
21791,M90.669,"Osteitis deformans in neoplastic diseases, unspecified lower leg",M90669
21792,M90.67,"Osteitis deformans in neoplastic diseases, ankle and foot",M9067
21793,M90.671,"Osteitis deformans in neoplastic diseases, right ankle and foot",M90671
21794,M90.672,"Osteitis deformans in neoplastic diseases, left ankle and foot",M90672
21795,M90.679,"Osteitis deformans in neoplastic diseases, unspecified ankle and foot",M90679
21796,M90.68,"Osteitis deformans in neoplastic diseases, other site",M9068
21797,M90.69,"Osteitis deformans in neoplastic diseases, multiple sites",M9069
21798,M90.8,Osteopathy in diseases classified elsewhere,M908
21799,M90.80,"Osteopathy in diseases classified elsewhere, unspecified site",M9080
21800,M90.81,"Osteopathy in diseases classified elsewhere, shoulder",M9081
21801,M90.811,"Osteopathy in diseases classified elsewhere, right shoulder",M90811
21802,M90.812,"Osteopathy in diseases classified elsewhere, left shoulder",M90812
21803,M90.819,"Osteopathy in diseases classified elsewhere, unspecified shoulder",M90819
21804,M90.82,"Osteopathy in diseases classified elsewhere, upper arm",M9082
21805,M90.821,"Osteopathy in diseases classified elsewhere, right upper arm",M90821
21806,M90.822,"Osteopathy in diseases classified elsewhere, left upper arm",M90822
21807,M90.829,"Osteopathy in diseases classified elsewhere, unspecified upper arm",M90829
21808,M90.83,"Osteopathy in diseases classified elsewhere, forearm",M9083
21809,M90.831,"Osteopathy in diseases classified elsewhere, right forearm",M90831
21810,M90.832,"Osteopathy in diseases classified elsewhere, left forearm",M90832
21811,M90.839,"Osteopathy in diseases classified elsewhere, unspecified forearm",M90839
21812,M90.84,"Osteopathy in diseases classified elsewhere, hand",M9084
21813,M90.841,"Osteopathy in diseases classified elsewhere, right hand",M90841
21814,M90.842,"Osteopathy in diseases classified elsewhere, left hand",M90842
21815,M90.849,"Osteopathy in diseases classified elsewhere, unspecified hand",M90849
21816,M90.85,"Osteopathy in diseases classified elsewhere, thigh",M9085
21817,M90.851,"Osteopathy in diseases classified elsewhere, right thigh",M90851
21818,M90.852,"Osteopathy in diseases classified elsewhere, left thigh",M90852
21819,M90.859,"Osteopathy in diseases classified elsewhere, unspecified thigh",M90859
21820,M90.86,"Osteopathy in diseases classified elsewhere, lower leg",M9086
21821,M90.861,"Osteopathy in diseases classified elsewhere, right lower leg",M90861
21822,M90.862,"Osteopathy in diseases classified elsewhere, left lower leg",M90862
21823,M90.869,"Osteopathy in diseases classified elsewhere, unspecified lower leg",M90869
21824,M90.87,"Osteopathy in diseases classified elsewhere, ankle and foot",M9087
21825,M90.871,"Osteopathy in diseases classified elsewhere, right ankle and foot",M90871
21826,M90.872,"Osteopathy in diseases classified elsewhere, left ankle and foot",M90872
21827,M90.879,"Osteopathy in diseases classified elsewhere, unspecified ankle and foot",M90879
21828,M90.88,"Osteopathy in diseases classified elsewhere, other site",M9088
21829,M90.89,"Osteopathy in diseases classified elsewhere, multiple sites",M9089
21830,M91,Juvenile osteochondrosis of hip and pelvis,M91
21831,M91.0,Juvenile osteochondrosis of pelvis,M910
21832,M91.1,Juvenile osteochondrosis of head of femur [Legg-Calvé-Perthes],M911
21833,M91.10,"Juvenile osteochondrosis of head of femur [Legg-Calvé-Perthes], unspecified leg",M9110
21834,M91.11,"Juvenile osteochondrosis of head of femur [Legg-Calvé-Perthes], right leg",M9111
21835,M91.12,"Juvenile osteochondrosis of head of femur [Legg-Calvé-Perthes], left leg",M9112
21836,M91.2,Coxa plana,M912
21837,M91.20,"Coxa plana, unspecified hip",M9120
21838,M91.21,"Coxa plana, right hip",M9121
21839,M91.22,"Coxa plana, left hip",M9122
21840,M91.3,Pseudocoxalgia,M913
21841,M91.30,"Pseudocoxalgia, unspecified hip",M9130
21842,M91.31,"Pseudocoxalgia, right hip",M9131
21843,M91.32,"Pseudocoxalgia, left hip",M9132
21844,M91.4,Coxa magna,M914
21845,M91.40,"Coxa magna, unspecified hip",M9140
21846,M91.41,"Coxa magna, right hip",M9141
21847,M91.42,"Coxa magna, left hip",M9142
21848,M91.8,Other juvenile osteochondrosis of hip and pelvis,M918
21849,M91.80,"Other juvenile osteochondrosis of hip and pelvis, unspecified leg",M9180
21850,M91.81,"Other juvenile osteochondrosis of hip and pelvis, right leg",M9181
21851,M91.82,"Other juvenile osteochondrosis of hip and pelvis, left leg",M9182
21852,M91.9,"Juvenile osteochondrosis of hip and pelvis, unspecified",M919
21853,M91.90,"Juvenile osteochondrosis of hip and pelvis, unspecified, unspecified leg",M9190
21854,M91.91,"Juvenile osteochondrosis of hip and pelvis, unspecified, right leg",M9191
21855,M91.92,"Juvenile osteochondrosis of hip and pelvis, unspecified, left leg",M9192
21856,M92,Other juvenile osteochondrosis,M92
21857,M92.0,Juvenile osteochondrosis of humerus,M920
21858,M92.00,"Juvenile osteochondrosis of humerus, unspecified arm",M9200
21859,M92.01,"Juvenile osteochondrosis of humerus, right arm",M9201
21860,M92.02,"Juvenile osteochondrosis of humerus, left arm",M9202
21861,M92.1,Juvenile osteochondrosis of radius and ulna,M921
21862,M92.10,"Juvenile osteochondrosis of radius and ulna, unspecified arm",M9210
21863,M92.11,"Juvenile osteochondrosis of radius and ulna, right arm",M9211
21864,M92.12,"Juvenile osteochondrosis of radius and ulna, left arm",M9212
21865,M92.2,"Juvenile osteochondrosis, hand",M922
21866,M92.20,"Unspecified juvenile osteochondrosis, hand",M9220
21867,M92.201,"Unspecified juvenile osteochondrosis, right hand",M92201
21868,M92.202,"Unspecified juvenile osteochondrosis, left hand",M92202
21869,M92.209,"Unspecified juvenile osteochondrosis, unspecified hand",M92209
21870,M92.21,Osteochondrosis (juvenile) of carpal lunate [Kienböck],M9221
21871,M92.211,"Osteochondrosis (juvenile) of carpal lunate [Kienböck], right hand",M92211
21872,M92.212,"Osteochondrosis (juvenile) of carpal lunate [Kienböck], left hand",M92212
21873,M92.219,"Osteochondrosis (juvenile) of carpal lunate [Kienböck], unspecified hand",M92219
21874,M92.22,Osteochondrosis (juvenile) of metacarpal heads [Mauclaire],M9222
21875,M92.221,"Osteochondrosis (juvenile) of metacarpal heads [Mauclaire], right hand",M92221
21876,M92.222,"Osteochondrosis (juvenile) of metacarpal heads [Mauclaire], left hand",M92222
21877,M92.229,"Osteochondrosis (juvenile) of metacarpal heads [Mauclaire], unspecified hand",M92229
21878,M92.29,"Other juvenile osteochondrosis, hand",M9229
21879,M92.291,"Other juvenile osteochondrosis, right hand",M92291
21880,M92.292,"Other juvenile osteochondrosis, left hand",M92292
21881,M92.299,"Other juvenile osteochondrosis, unspecified hand",M92299
21882,M92.3,"Other juvenile osteochondrosis, upper limb",M923
21883,M92.30,"Other juvenile osteochondrosis, unspecified upper limb",M9230
21884,M92.31,"Other juvenile osteochondrosis, right upper limb",M9231
21885,M92.32,"Other juvenile osteochondrosis, left upper limb",M9232
21886,M92.4,Juvenile osteochondrosis of patella,M924
21887,M92.40,"Juvenile osteochondrosis of patella, unspecified knee",M9240
21888,M92.41,"Juvenile osteochondrosis of patella, right knee",M9241
21889,M92.42,"Juvenile osteochondrosis of patella, left knee",M9242
21890,M92.5,Juvenile osteochondrosis of tibia and fibula,M925
21891,M92.50,Unspecified juvenile osteochondrosis of tibia and fibula,M9250
21892,M92.501,"Unspecified juvenile osteochondrosis, right leg",M92501
21893,M92.502,"Unspecified juvenile osteochondrosis, left leg",M92502
21894,M92.503,"Unspecified juvenile osteochondrosis, bilateral leg",M92503
21895,M92.509,"Unspecified juvenile osteochondrosis, unspecified leg",M92509
21896,M92.51,Juvenile osteochondrosis of proximal tibia,M9251
21897,M92.511,"Juvenile osteochondrosis of proximal tibia, right leg",M92511
21898,M92.512,"Juvenile osteochondrosis of proximal tibia, left leg",M92512
21899,M92.513,"Juvenile osteochondrosis of proximal tibia, bilateral",M92513
21900,M92.519,"Juvenile osteochondrosis of proximal tibia, unspecified leg",M92519
21901,M92.52,Juvenile osteochondrosis of tibia tubercle,M9252
21902,M92.521,"Juvenile osteochondrosis of tibia tubercle, right leg",M92521
21903,M92.522,"Juvenile osteochondrosis of tibia tubercle, left leg",M92522
21904,M92.523,"Juvenile osteochondrosis of tibia tubercle, bilateral",M92523
21905,M92.529,"Juvenile osteochondrosis of tibia tubercle, unspecified leg",M92529
21906,M92.59,Other juvenile osteochondrosis of tibia and fibula,M9259
21907,M92.591,"Other juvenile osteochondrosis of tibia and fibula, right leg",M92591
21908,M92.592,"Other juvenile osteochondrosis of tibia and fibula, left leg",M92592
21909,M92.593,"Other juvenile osteochondrosis of tibia and fibula, bilateral",M92593
21910,M92.599,"Other juvenile osteochondrosis of tibia and fibula, unspecified leg",M92599
21911,M92.6,Juvenile osteochondrosis of tarsus,M926
21912,M92.60,"Juvenile osteochondrosis of tarsus, unspecified ankle",M9260
21913,M92.61,"Juvenile osteochondrosis of tarsus, right ankle",M9261
21914,M92.62,"Juvenile osteochondrosis of tarsus, left ankle",M9262
21915,M92.7,Juvenile osteochondrosis of metatarsus,M927
21916,M92.70,"Juvenile osteochondrosis of metatarsus, unspecified foot",M9270
21917,M92.71,"Juvenile osteochondrosis of metatarsus, right foot",M9271
21918,M92.72,"Juvenile osteochondrosis of metatarsus, left foot",M9272
21919,M92.8,Other specified juvenile osteochondrosis,M928
21920,M92.9,"Juvenile osteochondrosis, unspecified",M929
21921,M93,Other osteochondropathies,M93
21922,M93.0,Slipped upper femoral epiphysis (nontraumatic),M930
21923,M93.00,Unspecified slipped upper femoral epiphysis (nontraumatic),M9300
21924,M93.001,"Unspecified slipped upper femoral epiphysis (nontraumatic), right hip",M93001
21925,M93.002,"Unspecified slipped upper femoral epiphysis (nontraumatic), left hip",M93002
21926,M93.003,"Unspecified slipped upper femoral epiphysis (nontraumatic), unspecified hip",M93003
21927,M93.004,"Unspecified slipped upper femoral epiphysis (nontraumatic), bilateral hips",M93004
21928,M93.01,"Acute slipped upper femoral epiphysis, stable (nontraumatic)",M9301
21929,M93.011,"Acute slipped upper femoral epiphysis, stable (nontraumatic), right hip",M93011
21930,M93.012,"Acute slipped upper femoral epiphysis, stable (nontraumatic), left hip",M93012
21931,M93.013,"Acute slipped upper femoral epiphysis, stable (nontraumatic), unspecified hip",M93013
21932,M93.014,"Acute slipped upper femoral epiphysis, stable (nontraumatic), bilateral hips",M93014
21933,M93.02,"Chronic slipped upper femoral epiphysis, stable (nontraumatic)",M9302
21934,M93.021,"Chronic slipped upper femoral epiphysis, stable (nontraumatic), right hip",M93021
21935,M93.022,"Chronic slipped upper femoral epiphysis, stable (nontraumatic), left hip",M93022
21936,M93.023,"Chronic slipped upper femoral epiphysis, stable (nontraumatic), unspecified hip",M93023
21937,M93.024,"Chronic slipped upper femoral epiphysis, stable (nontraumatic), bilateral hips",M93024
21938,M93.03,"Acute on chronic slipped upper femoral epiphysis, stable (nontraumatic)",M9303
21939,M93.031,"Acute on chronic slipped upper femoral epiphysis, stable (nontraumatic), right hip",M93031
21940,M93.032,"Acute on chronic slipped upper femoral epiphysis, stable (nontraumatic), left hip",M93032
21941,M93.033,"Acute on chronic slipped upper femoral epiphysis, stable (nontraumatic), unspecified hip",M93033
21942,M93.034,"Acute on chronic slipped upper femoral epiphysis, stable (nontraumatic), bilateral hips",M93034
21943,M93.04,"Acute slipped upper femoral epiphysis, unstable (nontraumatic)",M9304
21944,M93.041,"Acute slipped upper femoral epiphysis, unstable (nontraumatic), right hip",M93041
21945,M93.042,"Acute slipped upper femoral epiphysis, unstable (nontraumatic), left hip",M93042
21946,M93.043,"Acute slipped upper femoral epiphysis, unstable (nontraumatic), unspecified hip",M93043
21947,M93.044,"Acute slipped upper femoral epiphysis, unstable (nontraumatic), bilateral hips",M93044
21948,M93.05,"Acute on chronic slipped upper femoral epiphysis, unstable (nontraumatic)",M9305
21949,M93.051,"Acute on chronic slipped upper femoral epiphysis, unstable (nontraumatic), right hip",M93051
21950,M93.052,"Acute on chronic slipped upper femoral epiphysis, unstable (nontraumatic), left hip",M93052
21951,M93.053,"Acute on chronic slipped upper femoral epiphysis, unstable (nontraumatic), unspecified hip",M93053
21952,M93.054,"Acute on chronic slipped upper femoral epiphysis, unstable (nontraumatic), bilateral hips",M93054
21953,M93.06,"Acute slipped upper femoral epiphysis, unspecified stability (nontraumatic)",M9306
21954,M93.061,"Acute slipped upper femoral epiphysis, unspecified stability (nontraumatic), right hip",M93061
21955,M93.062,"Acute slipped upper femoral epiphysis, unspecified stability (nontraumatic), left hip",M93062
21956,M93.063,"Acute slipped upper femoral epiphysis, unspecified stability (nontraumatic), unspecified hip",M93063
21957,M93.064,"Acute slipped upper femoral epiphysis, unspecified stability (nontraumatic), bilateral hips",M93064
21958,M93.07,"Acute on chronic slipped upper femoral epiphysis, unspecified stability (nontraumatic)",M9307
21959,M93.071,"Acute on chronic slipped upper femoral epiphysis, unspecified stability (nontraumatic), right hip",M93071
21960,M93.072,"Acute on chronic slipped upper femoral epiphysis, unspecified stability (nontraumatic), left hip",M93072
21961,M93.073,"Acute on chronic slipped upper femoral epiphysis, unspecified stability (nontraumatic), unspecified hip",M93073
21962,M93.074,"Acute on chronic slipped upper femoral epiphysis, unspecified stability (nontraumatic), bilateral hips",M93074
21963,M93.1,Kienböck's disease of adults,M931
21964,M93.2,Osteochondritis dissecans,M932
21965,M93.20,Osteochondritis dissecans of unspecified site,M9320
21966,M93.21,Osteochondritis dissecans of shoulder,M9321
21967,M93.211,"Osteochondritis dissecans, right shoulder",M93211
21968,M93.212,"Osteochondritis dissecans, left shoulder",M93212
21969,M93.219,"Osteochondritis dissecans, unspecified shoulder",M93219
21970,M93.22,Osteochondritis dissecans of elbow,M9322
21971,M93.221,"Osteochondritis dissecans, right elbow",M93221
21972,M93.222,"Osteochondritis dissecans, left elbow",M93222
21973,M93.229,"Osteochondritis dissecans, unspecified elbow",M93229
21974,M93.23,Osteochondritis dissecans of wrist,M9323
21975,M93.231,"Osteochondritis dissecans, right wrist",M93231
21976,M93.232,"Osteochondritis dissecans, left wrist",M93232
21977,M93.239,"Osteochondritis dissecans, unspecified wrist",M93239
21978,M93.24,Osteochondritis dissecans of joints of hand,M9324
21979,M93.241,"Osteochondritis dissecans, joints of right hand",M93241
21980,M93.242,"Osteochondritis dissecans, joints of left hand",M93242
21981,M93.249,"Osteochondritis dissecans, joints of unspecified hand",M93249
21982,M93.25,Osteochondritis dissecans of hip,M9325
21983,M93.251,"Osteochondritis dissecans, right hip",M93251
21984,M93.252,"Osteochondritis dissecans, left hip",M93252
21985,M93.259,"Osteochondritis dissecans, unspecified hip",M93259
21986,M93.26,Osteochondritis dissecans knee,M9326
21987,M93.261,"Osteochondritis dissecans, right knee",M93261
21988,M93.262,"Osteochondritis dissecans, left knee",M93262
21989,M93.269,"Osteochondritis dissecans, unspecified knee",M93269
21990,M93.27,Osteochondritis dissecans of ankle and joints of foot,M9327
21991,M93.271,"Osteochondritis dissecans, right ankle and joints of right foot",M93271
21992,M93.272,"Osteochondritis dissecans, left ankle and joints of left foot",M93272
21993,M93.279,"Osteochondritis dissecans, unspecified ankle and joints of foot",M93279
21994,M93.28,Osteochondritis dissecans other site,M9328
21995,M93.29,Osteochondritis dissecans multiple sites,M9329
21996,M93.8,Other specified osteochondropathies,M938
21997,M93.80,Other specified osteochondropathies of unspecified site,M9380
21998,M93.81,Other specified osteochondropathies of shoulder,M9381
21999,M93.811,"Other specified osteochondropathies, right shoulder",M93811
22000,M93.812,"Other specified osteochondropathies, left shoulder",M93812
22001,M93.819,"Other specified osteochondropathies, unspecified shoulder",M93819
22002,M93.82,Other specified osteochondropathies of upper arm,M9382
22003,M93.821,"Other specified osteochondropathies, right upper arm",M93821
22004,M93.822,"Other specified osteochondropathies, left upper arm",M93822
22005,M93.829,"Other specified osteochondropathies, unspecified upper arm",M93829
22006,M93.83,Other specified osteochondropathies of forearm,M9383
22007,M93.831,"Other specified osteochondropathies, right forearm",M93831
22008,M93.832,"Other specified osteochondropathies, left forearm",M93832
22009,M93.839,"Other specified osteochondropathies, unspecified forearm",M93839
22010,M93.84,Other specified osteochondropathies of hand,M9384
22011,M93.841,"Other specified osteochondropathies, right hand",M93841
22012,M93.842,"Other specified osteochondropathies, left hand",M93842
22013,M93.849,"Other specified osteochondropathies, unspecified hand",M93849
22014,M93.85,Other specified osteochondropathies of thigh,M9385
22015,M93.851,"Other specified osteochondropathies, right thigh",M93851
22016,M93.852,"Other specified osteochondropathies, left thigh",M93852
22017,M93.859,"Other specified osteochondropathies, unspecified thigh",M93859
22018,M93.86,Other specified osteochondropathies lower leg,M9386
22019,M93.861,"Other specified osteochondropathies, right lower leg",M93861
22020,M93.862,"Other specified osteochondropathies, left lower leg",M93862
22021,M93.869,"Other specified osteochondropathies, unspecified lower leg",M93869
22022,M93.87,Other specified osteochondropathies of ankle and foot,M9387
22023,M93.871,"Other specified osteochondropathies, right ankle and foot",M93871
22024,M93.872,"Other specified osteochondropathies, left ankle and foot",M93872
22025,M93.879,"Other specified osteochondropathies, unspecified ankle and foot",M93879
22026,M93.88,Other specified osteochondropathies other,M9388
22027,M93.89,Other specified osteochondropathies multiple sites,M9389
22028,M93.9,"Osteochondropathy, unspecified",M939
22029,M93.90,"Osteochondropathy, unspecified of unspecified site",M9390
22030,M93.91,"Osteochondropathy, unspecified of shoulder",M9391
22031,M93.911,"Osteochondropathy, unspecified, right shoulder",M93911
22032,M93.912,"Osteochondropathy, unspecified, left shoulder",M93912
22033,M93.919,"Osteochondropathy, unspecified, unspecified shoulder",M93919
22034,M93.92,"Osteochondropathy, unspecified of upper arm",M9392
22035,M93.921,"Osteochondropathy, unspecified, right upper arm",M93921
22036,M93.922,"Osteochondropathy, unspecified, left upper arm",M93922
22037,M93.929,"Osteochondropathy, unspecified, unspecified upper arm",M93929
22038,M93.93,"Osteochondropathy, unspecified of forearm",M9393
22039,M93.931,"Osteochondropathy, unspecified, right forearm",M93931
22040,M93.932,"Osteochondropathy, unspecified, left forearm",M93932
22041,M93.939,"Osteochondropathy, unspecified, unspecified forearm",M93939
22042,M93.94,"Osteochondropathy, unspecified of hand",M9394
22043,M93.941,"Osteochondropathy, unspecified, right hand",M93941
22044,M93.942,"Osteochondropathy, unspecified, left hand",M93942
22045,M93.949,"Osteochondropathy, unspecified, unspecified hand",M93949
22046,M93.95,"Osteochondropathy, unspecified of thigh",M9395
22047,M93.951,"Osteochondropathy, unspecified, right thigh",M93951
22048,M93.952,"Osteochondropathy, unspecified, left thigh",M93952
22049,M93.959,"Osteochondropathy, unspecified, unspecified thigh",M93959
22050,M93.96,"Osteochondropathy, unspecified lower leg",M9396
22051,M93.961,"Osteochondropathy, unspecified, right lower leg",M93961
22052,M93.962,"Osteochondropathy, unspecified, left lower leg",M93962
22053,M93.969,"Osteochondropathy, unspecified, unspecified lower leg",M93969
22054,M93.97,"Osteochondropathy, unspecified of ankle and foot",M9397
22055,M93.971,"Osteochondropathy, unspecified, right ankle and foot",M93971
22056,M93.972,"Osteochondropathy, unspecified, left ankle and foot",M93972
22057,M93.979,"Osteochondropathy, unspecified, unspecified ankle and foot",M93979
22058,M93.98,"Osteochondropathy, unspecified other",M9398
22059,M93.99,"Osteochondropathy, unspecified multiple sites",M9399
22060,M94,Other disorders of cartilage,M94
22061,M94.0,Chondrocostal junction syndrome [Tietze],M940
22062,M94.1,Relapsing polychondritis,M941
22063,M94.2,Chondromalacia,M942
22064,M94.20,"Chondromalacia, unspecified site",M9420
22065,M94.21,"Chondromalacia, shoulder",M9421
22066,M94.211,"Chondromalacia, right shoulder",M94211
22067,M94.212,"Chondromalacia, left shoulder",M94212
22068,M94.219,"Chondromalacia, unspecified shoulder",M94219
22069,M94.22,"Chondromalacia, elbow",M9422
22070,M94.221,"Chondromalacia, right elbow",M94221
22071,M94.222,"Chondromalacia, left elbow",M94222
22072,M94.229,"Chondromalacia, unspecified elbow",M94229
22073,M94.23,"Chondromalacia, wrist",M9423
22074,M94.231,"Chondromalacia, right wrist",M94231
22075,M94.232,"Chondromalacia, left wrist",M94232
22076,M94.239,"Chondromalacia, unspecified wrist",M94239
22077,M94.24,"Chondromalacia, joints of hand",M9424
22078,M94.241,"Chondromalacia, joints of right hand",M94241
22079,M94.242,"Chondromalacia, joints of left hand",M94242
22080,M94.249,"Chondromalacia, joints of unspecified hand",M94249
22081,M94.25,"Chondromalacia, hip",M9425
22082,M94.251,"Chondromalacia, right hip",M94251
22083,M94.252,"Chondromalacia, left hip",M94252
22084,M94.259,"Chondromalacia, unspecified hip",M94259
22085,M94.26,"Chondromalacia, knee",M9426
22086,M94.261,"Chondromalacia, right knee",M94261
22087,M94.262,"Chondromalacia, left knee",M94262
22088,M94.269,"Chondromalacia, unspecified knee",M94269
22089,M94.27,"Chondromalacia, ankle and joints of foot",M9427
22090,M94.271,"Chondromalacia, right ankle and joints of right foot",M94271
22091,M94.272,"Chondromalacia, left ankle and joints of left foot",M94272
22092,M94.279,"Chondromalacia, unspecified ankle and joints of foot",M94279
22093,M94.28,"Chondromalacia, other site",M9428
22094,M94.29,"Chondromalacia, multiple sites",M9429
22095,M94.3,Chondrolysis,M943
22096,M94.35,"Chondrolysis, hip",M9435
22097,M94.351,"Chondrolysis, right hip",M94351
22098,M94.352,"Chondrolysis, left hip",M94352
22099,M94.359,"Chondrolysis, unspecified hip",M94359
22100,M94.8,Other specified disorders of cartilage,M948
22101,M94.8X,Other specified disorders of cartilage,M948X
22102,M94.8X0,"Other specified disorders of cartilage, multiple sites",M948X0
22103,M94.8X1,"Other specified disorders of cartilage, shoulder",M948X1
22104,M94.8X2,"Other specified disorders of cartilage, upper arm",M948X2
22105,M94.8X3,"Other specified disorders of cartilage, forearm",M948X3
22106,M94.8X4,"Other specified disorders of cartilage, hand",M948X4
22107,M94.8X5,"Other specified disorders of cartilage, thigh",M948X5
22108,M94.8X6,"Other specified disorders of cartilage, lower leg",M948X6
22109,M94.8X7,"Other specified disorders of cartilage, ankle and foot",M948X7
22110,M94.8X8,"Other specified disorders of cartilage, other site",M948X8
22111,M94.8X9,"Other specified disorders of cartilage, unspecified sites",M948X9
22112,M94.9,"Disorder of cartilage, unspecified",M949
22113,M95,Other acquired deformities of musculoskeletal system and connective tissue,M95
22114,M95.0,Acquired deformity of nose,M950
22115,M95.1,Cauliflower ear,M951
22116,M95.10,"Cauliflower ear, unspecified ear",M9510
22117,M95.11,"Cauliflower ear, right ear",M9511
22118,M95.12,"Cauliflower ear, left ear",M9512
